descripcion;income_source;derived
CIUDADANO REPORTA RUIDOS MOLESTOS POR UN NEGOCIO ) NOVEDAD TURNO NOCHE;Centro de Monitoreo;Delictivo
CIUDADANO REPORTA RUIDOS MOLESTOS POR TRABAJOS;Centro de Monitoreo;Delictivo
CIUDADANO REPORTA RUIDOS MOLESTOS Y OLORES FUERTES;Centro de Monitoreo;Delictivo
ROBO A VEHÍCULO MODALIDAD ESTACIONADO;Centro de Monitoreo;Delictivo
RUIDOS MOLESTOS POR OBRAS FUERA DEL HORARIO;Centro de Monitoreo;Delictivo
TIPO: VEHICULOS MAL ESTACIONADOS DENOMINACIÓN: VEHICULOS MAL ESTACIONADOS;Centro de Monitoreo;Delictivo
RUIDOS MOLESTOS POR OBRAS;Centro de Monitoreo;Delictivo
CIUDADANO REPORTA RUIDOS MOLESTOS POR OBRAS;Centro de Monitoreo;Delictivo
ATROPELLO A MENOR DE EDAD;Centro de Monitoreo;Delictivo
VECINO INDICA GRESCA ENTRE UN GRUPO DE PERSONAS QUE ESTAN TOMANDO LICOR EN VIA PUBLICA;Centro de Monitoreo;Delictivo
COMERCIO AMBULATORIO;Centro de Monitoreo;Delictivo
ATROPELLO;Centro de Monitoreo;Delictivo
COMERCIO AMBULATORIO;Centro de Monitoreo;Delictivo
CAPTURA ALIAS KUCIO;Centro de Monitoreo;Delictivo
ROBO A TIENDA MASS;Centro de Monitoreo;Delictivo
HCP ROBO;Centro de Monitoreo;Delictivo
ROBO DE UN DISPOSITVO MOVIL;Centro de Monitoreo;Delictivo
RUIDO MOLESTO POR OBRAS;Centro de Monitoreo;Delictivo
RM POR CONSTRUCCION;Centro de Monitoreo;Delictivo
OP -HURTO DE CATERIANA;Centro de Monitoreo;Delictivo
COMERCIO AMBULATORIO;Centro de Monitoreo;Delictivo
CIUDADANO REPORTA RUIDOS MOLESTOS POR CONSTRUCCION;Centro de Monitoreo;Delictivo
CAPTURA POR EL GRUPO OLAYA;Centro de Monitoreo;Delictivo
ARREBATO DE DISPOSITIVO MOVIL;Centro de Monitoreo;Delictivo
INTENTO DE ROBO;Centro de Monitoreo;Delictivo
SE VISUALIZA 6 PERSONAS LIMPIANDO PARABRISAS DE LOS VEHICULOS EN VIA PUBLICA;Centro de Monitoreo;Delictivo
RUIDOS MOLESTOS POR OBRAS / TRABAJOS;Centro de Monitoreo;Delictivo
RUIDOS MOLESTOS POR OBRAS;Centro de Monitoreo;Delictivo
AGRESION A PERSONAL DE SERENAZGO Y FISCALIZACION;Centro de Monitoreo;Delictivo
OPERATIVO CONJUNTO  - PREVENCION DE PIQUES ILEGALES;Centro de Monitoreo;Delictivo
ROBO DE AUTOPARTES / ACCESORIOS;Centro de Monitoreo;Delictivo
ROBO DE AUTOPARTES / ACCESORIOS;Centro de Monitoreo;Delictivo
APOYO A VECINO;Centro de Monitoreo;Delictivo
CAPTURA CON ARMA DE FUEGO;Centro de Monitoreo;Delictivo
ATROPELLO A PERSONAL DE MOVILIDAD URBANA;Centro de Monitoreo;Delictivo
SE VISUALIZA AMBULANTES;Centro de Monitoreo;Delictivo
ROBO DE DISPOSITIVO MOVIL;Centro de Monitoreo;Delictivo
TIPO: AMBULANTES EN VIA PUBLICA DENOMINACIÓN: AMBULANTES EN VIA PUBLICA;Centro de Monitoreo;Delictivo
TIPO: RUIDOS MOLESTOS POR OBRAS / TRABAJOS DENOMINACIÓN: RUIDOS MOLESTOS POR OBRAS / TRABAJOS;Centro de Monitoreo;Delictivo
HERIDO POR ROBO (PIEDRA EN LA CABEZA);Centro de Monitoreo;Delictivo
AGRESION A PERSONAL DE FISCALIZACION;Centro de Monitoreo;Delictivo
RUIDOS MOLESTOS POR OBRAS;Centro de Monitoreo;Delictivo
COMERCIO AMBULATORIO;Centro de Monitoreo;Delictivo
COMERCIO AMBULATORIO;Centro de Monitoreo;Delictivo
AMBULANTES EN VIA PUBLICA;Centro de Monitoreo;Delictivo
OPERATIVO EN CONJUNTO, PNP,FISCALIZACION, SERENAZGO, ESCUADRON EMIR, GRUPO OLAYA;Centro de Monitoreo;Delictivo
ATROPELLO;Centro de Monitoreo;Delictivo
RUIDOS MOLESTOS POR TRABAJOS;Centro de Monitoreo;Delictivo
OBRA PARALIZADA QUE CONTINUA CON TRABAJOS;Centro de Monitoreo;Delictivo
CAPTURA DE PAREJA QUE MICROCOMERCIALIZA DROGAS;Centro de Monitoreo;Delictivo
HERIDO POR ARMA BLANCA;Centro de Monitoreo;Delictivo
COMERCIO AMBULATORIO;Centro de Monitoreo;Delictivo
RUIDOS MOLESTOS POR TRABAJOS;Centro de Monitoreo;Delictivo
HCP ROBO;Centro de Monitoreo;Delictivo
PACHECO DIAZ REPORTA COMERCIO AMBULATORIO CASO OMISO;Centro de Monitoreo;Delictivo
OPERATIVO CONJUNTO DEL ESCUADRON VERDE Y SEGURIDAD CIUDADANA  ;Centro de Monitoreo;Delictivo
ROBO CON ARMA DE FUEGO;Centro de Monitoreo;Delictivo
AGRESION A PERSONAL DE SERENAZGO;Centro de Monitoreo;Delictivo
ARREBATO DE DISPOSITIVO MOVIL;Centro de Monitoreo;Delictivo
DETENCION A PRESUNTO DELINCUENTE CON RQ;Centro de Monitoreo;Delictivo
INTENTO DE SUICIDIO;Centro de Monitoreo;Delictivo
ROBO;Centro de Monitoreo;Delictivo
AMBULANTES EN VIA PUBLICA;Centro de Monitoreo;Delictivo
INTERVENCION A PRESUNTO DELINCUENTE;Centro de Monitoreo;Delictivo
RUIDOS MOLESTOS POR TRABAJOS;Centro de Monitoreo;Delictivo
CAPTURA DE DDCC / ARRESTO CIUDADANO;Centro de Monitoreo;Delictivo
SUJETO MUESTRA SUS PARTES IMTIMAS A PERSONAL DE PLAYA;Centro de Monitoreo;Delictivo
COMERCIO AMBULATORIO;Centro de Monitoreo;Delictivo
TIPO: CAPTURA DE DDCC / ARRESTO CIUDADANO DENOMINACIÓN: ROBO / CAPTURA;Centro de Monitoreo;Delictivo
CAPTURA DE DDCC / ARRESTO CIUDADANO;Centro de Monitoreo;Delictivo
ARRESTO CIUDADANO;Centro de Monitoreo;Delictivo
REPORTAN HURTO DE HERRAMIENTAS DENTRO DE UN VEHCIULO DE TELEFONIA;Centro de Monitoreo;Delictivo
ARROJO DE BASURA;Centro de Monitoreo;Delictivo
TIPO: RUIDOS MOLESTOS POR OBRAS / TRABAJOS DENOMINACIÓN: RUIDOS MOLESTOS POR OBRAS / TRABAJOS;Centro de Monitoreo;Delictivo
INTENTO DE ROBO CON ARMA DE FUEGO;Centro de Monitoreo;Delictivo
RESIDUOS SOLIDOS Y AMBULANTES;Centro de Monitoreo;Delictivo
RUIDOS MOLESTOS;Centro de Monitoreo;Delictivo
HCSP CONDUCCION EN PRESUNTO ESTADO DE EBRIEDAD;Centro de Monitoreo;Delictivo
OP: KENDRIC BARBOZA - INTERVENCIÓN DEPINCRI CONJUNTO GRUPO OLAYA;Centro de Monitoreo;Delictivo
ROBO DE PERTENENCIAS;Centro de Monitoreo;Delictivo
RUIDOS MOLESTOS POR OBRAS;Centro de Monitoreo;Delictivo
INTENTO DE ATROPELLO;Centro de Monitoreo;Delictivo
RUIDOS MOLESTOS POR TRABAJO EN FABRICA;Centro de Monitoreo;Delictivo
INTERVENCION;Centro de Monitoreo;Delictivo
CAPTURA DE PRESUNTO DD.CC;Centro de Monitoreo;Delictivo
DETENCION DE PRESUNTO COMERCIALIZADOR DE DROGA;Centro de Monitoreo;Delictivo
OPERATIVO CONJUNTO PNP;Centro de Monitoreo;Delictivo
RUIDOS MOLESTOS POR TRABAJOS;Centro de Monitoreo;Delictivo
GRESCA CON ARMA BLANCA;Centro de Monitoreo;Delictivo
AMBULANTES INFORMALES;Centro de Monitoreo;Delictivo
RUIDOS MOLESTOS POR OBRAS / TRABAJOS;Centro de Monitoreo;Delictivo
RUIDOS MOLESTOS POR CONSTRUCCIÓN;Centro de Monitoreo;Delictivo
AGRESIÓN A PERSONAL DE SERENAZGO;Centro de Monitoreo;Delictivo
AGRESIÓN A FÉMINAS;Centro de Monitoreo;Delictivo
OPERATIVO EN CONJUNTO ENTRE SERENAZGO, FISCALIZACION,PNP Y MOVILIDAD URBANA;Centro de Monitoreo;Delictivo
OPERATIVO MUNICIPAL BRIGAADAA CANINA;Centro de Monitoreo;Delictivo
HURTO DE DISPOSITIVO MÓVIL;Centro de Monitoreo;Delictivo
OPERATIVO CONJUNTO PNP-SERENAZGO-BRIGADA CANINA-MOVILIDAD URBANA;Centro de Monitoreo;Delictivo
HERIDO POR ATROPELLO;Centro de Monitoreo;Delictivo
HURTO DE BICICLETA;Centro de Monitoreo;Delictivo
OPERATIVO CONJUNTO PNP - ESCUADRON VERDE - ZONA SUR Y GERENCIA DE SEGURIDAD CIUDADANA;Centro de Monitoreo;Delictivo
RUIDOS MOLESTOS POR OBRAS / TRABAJOS;Centro de Monitoreo;Delictivo
HCP ROBO;Centro de Monitoreo;Delictivo
ROBO DE COMPUTADORA DE UN VEHICULO;Centro de Monitoreo;Delictivo
REPORTA RUIDOS MOLESTOS POR TRABAJOS;Centro de Monitoreo;Delictivo
OPERATIVO CONJUNTO PNP;Centro de Monitoreo;Delictivo
ATROPELLO;Centro de Monitoreo;Delictivo
RUIDOS MOLESTOS POR OBRAS / TRABAJOS;Centro de Monitoreo;Delictivo
RUIDOS MOLESTOS POR OBRAS / TRABAJO;Centro de Monitoreo;Delictivo
RUIDOS MOLESTOS POR TRABAJOS;Centro de Monitoreo;Delictivo
ROBO;Centro de Monitoreo;Delictivo
RUIDOS MOLESTOS POR POSIBLE TALLER CLANDESTINO;Centro de Monitoreo;Delictivo
HCP ROBO;Centro de Monitoreo;Delictivo
RUIDOS MOLESTOS POR CONSTRUCCIÓN;Centro de Monitoreo;Delictivo
TIPO: AMBULANTES EN VIA PUBLICA DENOMINACION: AMBULANTES EN VIA PUBLICA;Centro de Monitoreo;Delictivo
TIPO: AMBULANTES EN VIA PUBLICA DENOMINACION: AMBULANTES EN VIA PUBLICA;Centro de Monitoreo;Delictivo
TIPO: AMBULANTES EN VIA PUBLICA DENOMINACION: AMBULANTES EN VIA PUBLICA;Centro de Monitoreo;Delictivo
VENTA AMBULATORIA;Centro de Monitoreo;Delictivo
OPERATIVO CONJUNTO GERENCIA DE SEGURIDAD CIUDADANA CHORRILLOS Y ESCUADRON VERDE PNP ZONA SUR;Centro de Monitoreo;Delictivo
OCCISO;Centro de Monitoreo;Delictivo
ARREBATO DE DISPOSITIVO MÓVIL EN CALLE ;Centro de Monitoreo;Delictivo
CONJUNTO CON COMISARIA DE MATEO PUMACAHUA;Centro de Monitoreo;Delictivo
EN CIRCUNSTANCIAS DE QUE EL GRUPO EMIR SE ENCONTRABA REALIZANDO PATRULLAJE A PIE POR EL MALECON JUSTIN, LOGRA VISUALIZA A UN COMERCIANTE QUE INDICABA HABER SIDO VICTIMA DE HURTO;Centro de Monitoreo;Delictivo
COMERCIO AMBULATORIO;Centro de Monitoreo;Delictivo
COMERCIO AMBULATORIO;Centro de Monitoreo;Delictivo
CAPTURA DE DDCC / ARRESTO CIUDADANO;Centro de Monitoreo;Delictivo
TIPO: AMBULANTES EN VIA PUBLICA DENOMINACION: AMBULANTES EN VIA PUBLICA;Centro de Monitoreo;Delictivo
TIPO: RUIDOS MOLESTOS POR OBRAS / TRABAJOS DENOMINACION: RUIDOS MOLESTOS POR OBRAS / TRABAJOS;Centro de Monitoreo;Delictivo
FRUSTRACION DE ROBO / A PERSONA;Centro de Monitoreo;Delictivo
RUIDOS MOLESTOS POR OBRAS / TRABAJOS;Centro de Monitoreo;Delictivo
ROBO A TAXISTA;Centro de Monitoreo;Delictivo
RUIDOS MOLESTOS POR TRABAJOS;Centro de Monitoreo;Delictivo
ATROPELLO A MENOR DE EDAD;Centro de Monitoreo;Delictivo
OPERATIVO CONJUNTO CON ESCUADRON VERDE PNP ;Centro de Monitoreo;Delictivo
LIMPIAPARABRISAS;Centro de Monitoreo;Delictivo
ROBO DE VEHÍCULO MENOR - MODALIDAD FALSO PASAJERO;Centro de Monitoreo;Delictivo
COMERCIO AMBULATORIO;Centro de Monitoreo;Delictivo
RUIDOS MOLESTOS POR MAQUINAS DE SOLDADURAS;Centro de Monitoreo;Delictivo
CAPTURA DE DDCC / ARRESTO CIUDADANO;Centro de Monitoreo;Delictivo
DAÑOS AL PATRIMONIO,;Centro de Monitoreo;Delictivo
GERENCIA DE SEGURIDAD CIUDADANA DE CHORRILLOS Y ESCUADRON VERDE DE LA PNP ZONA SUR;Centro de Monitoreo;Delictivo
SUJETOS INVADIERON PREDIO DE UN CONTRIBUYENTE;Centro de Monitoreo;Delictivo
OPERATIVO CONJUNTO PNP - ESCUADRON VERDE ZONA SUR Y GERENCIA CIUDADANA;Centro de Monitoreo;Delictivo
PATRULLAJE MUNICIPAL BRIGADA CANINA;Centro de Monitoreo;Delictivo
AMBULANTES EN VIA PUBLICA;Centro de Monitoreo;Delictivo
PATRULLAJE MUNICIPAL CANINO K-9;Centro de Monitoreo;Delictivo
HURTO;Centro de Monitoreo;Delictivo
HURTO A PERSONAS (CELULARES. MOCHILAS, RELOJES, OTROS);Centro de Monitoreo;Delictivo
OPERATIVO  CONJUNTO PNP - ESCUADRON VERDE - SECTOR N°4;Centro de Monitoreo;Delictivo
OPERATIVO CONJUNTO PNP;Centro de Monitoreo;Delictivo
SE RECIBE LA COMUNICACION RADIAL DEL AGENTE DE SERENAZGO BLAS VERA QUE SE ENCONTRABA EN EL INGRESO DE HERRADURA, MISMO QUE INFORMA QUE HABRIA SIDO HERIDO EN EL PIE POR UNA MOTO TORITO QUE HIZO CASO OMISO A LAS INDICACIONES DEL AGENTE.;Centro de Monitoreo;Delictivo
OPERATIVO EN CONJUNTO CON UNIDADES ESPECIALIZADAS PNP  SECTOR 3;Centro de Monitoreo;Delictivo
ROBO DE AUTOPARTES / ACCESORIOS;Centro de Monitoreo;Delictivo
PATRULLAJE MUNICIPAL - BRIGADA CANINA (GRUPO 2);Centro de Monitoreo;Delictivo
RUIDOS MOLESTOS POR OBRAS;Centro de Monitoreo;Delictivo
RUIDOS MOLESTOS POR OBRAS / TRABAJOS;Centro de Monitoreo;Delictivo
RUIDOS MOLESTOS;Centro de Monitoreo;Delictivo
CAPTURA DE DDCC / ARRESTO CIUDADANO;Centro de Monitoreo;Delictivo
PATRULLAJE MUNICIPAL GRUPO 2;Centro de Monitoreo;Delictivo
OPERATIVO EN CONJUNTO ESCUADRON VERDE, PNP, SERENAZGO, EMIR Y OLAYA;Centro de Monitoreo;Delictivo
AMBULANTES EN VIA PUBLICA;Centro de Monitoreo;Delictivo
COMERCIO AMBULATORIO;Centro de Monitoreo;Delictivo
OP: KENDRIC BARBOZA - PRESUNTA MICROCOMERCIALIZACION DE DROGAS;Centro de Monitoreo;Delictivo
TIPO: AMBULANTES EN VIA PUBLICA DENOMINACIÓN: AMBULANTES EN VIA PUBLICA;Centro de Monitoreo;Delictivo
TIPO: AMBULANTES EN VIA PUBLICA DENOMINACIÓN: AMBULANTES EN VIA PUBLICA;Centro de Monitoreo;Delictivo
OPERATIVO CONJUNTO PNP;Centro de Monitoreo;Delictivo
PATRULLAJE MUNICIPAL;Centro de Monitoreo;Delictivo
ATROPELLO A CICLISTA CON DAÑOS PERSONALES Y MATERIALES;Centro de Monitoreo;Delictivo
MENOR DE EDAD HERIDO POR ATROPELLO;Centro de Monitoreo;Delictivo
CONJUNTO;Centro de Monitoreo;Delictivo
CAPTURA DE DDCC / APOYO POLICIAL A PRESUNTO MICRO COMERCIALIZACIÓN DE ESTUPEFACIENTES ;Centro de Monitoreo;Delictivo
AGRESION A PERSONAL DE SERENAZGO CON LESIONES SUPERFICIALES;Centro de Monitoreo;Delictivo
OPERATIVOS EN CONJUTO CON LA PNP;Centro de Monitoreo;Delictivo
RUIDOS MOLESTOS POR OBRAS / TRABAJOS;Centro de Monitoreo;Delictivo
HURTO DE CATERIANAS;Centro de Monitoreo;Delictivo
RUIDOS MOLESTOS POR TRABAJOS;Centro de Monitoreo;Delictivo
COMERCIO AMBULATORIO;Centro de Monitoreo;Delictivo
TIPO: AMBULANTES EN VIA PUBLICA DENOMINACIÓN: AMBULANTES EN VIA PUBLICA;Centro de Monitoreo;Delictivo
AMBULANTES EN VIA PUBLICA;Centro de Monitoreo;Delictivo
RUIDOS MOLESTOS POR OBRAS / TRABAJOS;Centro de Monitoreo;Delictivo
HURTO A PERSONA (CELULAR);Centro de Monitoreo;Delictivo
ROBO DE AUTOPARTES Y DOCUMENTOS;Centro de Monitoreo;Delictivo
PATRULLAJE INTEGRADO/INCONCLUSO -  SECTOR 05;Centro de Monitoreo;No Delictivo
ARROJO DE RESIDUOS SOLIDOS;Centro de Monitoreo;No Delictivo
CAMPEONATO DE BARRISTAS;Centro de Monitoreo;No Delictivo
ARROJO DE RESIDUOS SOLIDOS;Centro de Monitoreo;No Delictivo
Apoyo a sangenaro se brinda recomendaciones a comercio ambulatorio;Serenazgo ;No Delictivo
BARRA BRAVA;Centro de Monitoreo;No Delictivo
ERRADICACION DE SUJETOS EN CONSUMO DE BEBIDAS ALCOHOLICAS;Centro de Monitoreo;No Delictivo
BASURA;Centro de Monitoreo;No Delictivo
ERRADICACION DE SUJETOS EN CONSUMO DE BEBIDAS ALCOHOLICAS;Centro de Monitoreo;No Delictivo
PATRULLAJE INTEGRADO DELTA N° 27;Centro de Monitoreo;No Delictivo
ERRADICACION DE SUJETOS EN CONSUMO DE BEBIDAS ALCOHOLICAS.;Centro de Monitoreo;No Delictivo
MUEBLE;Centro de Monitoreo;No Delictivo
RESIDUOS SOLIDOS;Centro de Monitoreo;No Delictivo
ERRADICAR SUJETOS TOMANDO LICOR. ;Centro de Monitoreo;No Delictivo
IMPACTÓ MUNICIPAL SAN GENARO;Centro de Monitoreo;No Delictivo
CATERIANAS CAIDAS;Centro de Monitoreo;No Delictivo
PODA DE ARBOL;Centro de Monitoreo;No Delictivo
MALEZA;Centro de Monitoreo;No Delictivo
RESGUARDO DEL BOSQUE ENCANTADO DE FATIMA;Centro de Monitoreo;No Delictivo
RESIDUOS SOLIDOS;Centro de Monitoreo;No Delictivo
RUIDOS POR MUSICA;Centro de Monitoreo;No Delictivo
ARROJO DE RESIDUOS SOLIDOS;Centro de Monitoreo;No Delictivo
CONSUMO DE LICOR EN LA VIA PUBLICA;Centro de Monitoreo;No Delictivo
INFORMACION DEL SERVICIO;Centro de Monitoreo;No Delictivo
RESIDUOS SOLIDOS;Centro de Monitoreo;No Delictivo
02 CAMARAS INOPERATIVAS Y 01 CAMARA ESTATICA;Centro de Monitoreo;No Delictivo
RESGUARDO;Centro de Monitoreo;No Delictivo
TOLDO;Centro de Monitoreo;No Delictivo
CAMARA INOPERATIVA;Centro de Monitoreo;No Delictivo
CONSUMO DE LICOR;Centro de Monitoreo;No Delictivo
HURTO;Centro de Monitoreo;No Delictivo
“IMPACTO VISUAL- SAN GENARO”;Centro de Monitoreo;No Delictivo
CATERIANA EN MAL ESTADO;Centro de Monitoreo;No Delictivo
PRECENSIA DE BARRISTAS;Centro de Monitoreo;No Delictivo
RUIDOS POR FIESTA EN LA VIA PUBLICA;Centro de Monitoreo;No Delictivo
CONSUMO DE LICOR;Centro de Monitoreo;No Delictivo
CLONACION DE TARJETA;Centro de Monitoreo;No Delictivo
RUIDOS POR MUSICA;Centro de Monitoreo;No Delictivo
CHOQUE VEHICULAR / DAÑOS MATERIALES Y PERSONALES;Centro de Monitoreo;No Delictivo
OPERATIVO BRIGADA CANINA;Centro de Monitoreo;No Delictivo
OPERATIVO CONJUNTO CON UNIDADES ESPECIALES PNP;Centro de Monitoreo;No Delictivo
RESGUARDO AL PARQUE ARMATAMBO (BRIGADA CANINA);Centro de Monitoreo;No Delictivo
COMERCIO AMBULATORIO (PANES Y CHURROS);Centro de Monitoreo;No Delictivo
DD;Centro de Monitoreo;No Delictivo
MANIFESTACION;Centro de Monitoreo;No Delictivo
OPERATIVO MATELLINI SEGURO;Centro de Monitoreo;No Delictivo
PATRULLAJE POR PLAYA AGUA DULCE DEL DRON;Centro de Monitoreo;No Delictivo
INTEGRADO SECTOR 2;Centro de Monitoreo;No Delictivo
INTEGRADO SECTOR 5;Centro de Monitoreo;No Delictivo
DESMONTE EN LA VIA PUBLICA;Centro de Monitoreo;No Delictivo
PANDILLAJE Y BARRAS BRAVAS;Centro de Monitoreo;No Delictivo
RUIDOS POR MUSICA;Centro de Monitoreo;No Delictivo
RISIDUOS SOLIDOS;Centro de Monitoreo;No Delictivo
ARROJO DESMONTE;Centro de Monitoreo;No Delictivo
DESMONTE;Centro de Monitoreo;No Delictivo
CIUDADANO REPORTA LIBADORES;Centro de Monitoreo;No Delictivo
PRESUNTO CONSUMO DE SUSTANCIAS TOXICAS;Centro de Monitoreo;No Delictivo
RESGUARDO;Centro de Monitoreo;No Delictivo
CHOQUE;Centro de Monitoreo;No Delictivo
DESPISTE;Centro de Monitoreo;No Delictivo
PATRULLAJE INTEGRADO INCONCLUSO;Centro de Monitoreo;No Delictivo
ENTREVISTA DE PRENSA A FAMILIA DE PRESUNTAMENTE AHOGADO EN PLAYA AGUA DULCE;Centro de Monitoreo;No Delictivo
OPERATIVO IMPACTO SECTOR 05;Centro de Monitoreo;No Delictivo
RESIDUOS SOLIDOS;Centro de Monitoreo;No Delictivo
COMERCIO AMBULATORIO;Centro de Monitoreo;No Delictivo
FISCALIZACION ERRADICANDO CONSUMO DE BEBIDAS ALCOHOLICAS Y COMERCIO AMBULATORIO (HELADOS);Centro de Monitoreo;No Delictivo
CARPA ROJA;Centro de Monitoreo;No Delictivo
HCVCS AGRESIONES FISICAS Y/O PSICOLOGICAS;Centro de Monitoreo;No Delictivo
INFORMACIÓN DEL SERVICIO / PERSONA DESCOMPENSADA;Centro de Monitoreo;No Delictivo
SUJETO EN ACTITUD SOSPECHOSA;Centro de Monitoreo;No Delictivo
INFORMACION DEL SERVICIO/ INTENTO DE AGRESION A MENOR;Centro de Monitoreo;No Delictivo
ROTURA DE VENTANA;Centro de Monitoreo;No Delictivo
PATRULLAJE INTEGRADO INCONCLUSO;Centro de Monitoreo;No Delictivo
CONSIGNA PARQUE FATIMA;Centro de Monitoreo;No Delictivo
ANIEGO;Centro de Monitoreo;No Delictivo
REPORTAN ARROJO DE DESMONTE;Centro de Monitoreo;No Delictivo
INFORMACION DEL SERVICIO;Centro de Monitoreo;No Delictivo
PATRULLAJE INCINCLUSO;Centro de Monitoreo;No Delictivo
REPORTAN VEHICULO MAL ESTACIONADO;Centro de Monitoreo;No Delictivo
ERRADICACION DE CARPAS;Centro de Monitoreo;No Delictivo
OBSTRUCCION DE LA VIA PUBLICA;Centro de Monitoreo;No Delictivo
COMERCIO AMBULATORIO;Centro de Monitoreo;No Delictivo
BASURA;Centro de Monitoreo;No Delictivo
SE INICIA PATRULLAJE INTEGRADO // DELTA 34;Centro de Monitoreo;No Delictivo
FALLA DE MONITOREO;Centro de Monitoreo;No Delictivo
PEGA DE AFICHES;Centro de Monitoreo;No Delictivo
OPERADOR-ROSAS;Centro de Monitoreo;No Delictivo
RUIDOS MOLESTOS POR CONSTRUCCION;Centro de Monitoreo;No Delictivo
RESGUARDO TOPOGRAFO;Centro de Monitoreo;No Delictivo
REPORTAN CONSUMO DE LICOR EN LA VIA PUBLICA;Centro de Monitoreo;No Delictivo
PERSONA DESCOMPENSADA;Centro de Monitoreo;No Delictivo
TOLDO;Centro de Monitoreo;No Delictivo
DESPRENDIMIENTO DE UNA REJA DE SEGURIDAD HIRIENDO A 02 CIUDADANOS;Centro de Monitoreo;No Delictivo
BEBIDAS ALCOHOLICAS;Centro de Monitoreo;No Delictivo
TOLDO EN VIA PUBLICA;Centro de Monitoreo;No Delictivo
RUIDOS POR MUSICA;Centro de Monitoreo;No Delictivo
CONSUMO DE BEBIDAS ALCOHOLICAS;Centro de Monitoreo;No Delictivo
COMERCIO AMBULATORIO;Centro de Monitoreo;No Delictivo
DESMONTE;Centro de Monitoreo;No Delictivo
DESMONTE;Centro de Monitoreo;No Delictivo
DESMONTE;Centro de Monitoreo;No Delictivo
BEBIDAS ALCOHOLICAS;Centro de Monitoreo;No Delictivo
AUTO EN LA VIA;Centro de Monitoreo;No Delictivo
PARQUE ARMATAMBO;Centro de Monitoreo;No Delictivo
BEBIDAS ALCOHOLICAS;Centro de Monitoreo;No Delictivo
DESMONTE;Centro de Monitoreo;No Delictivo
BEBIDAS ALCOHOLICAS;Centro de Monitoreo;No Delictivo
BEBIDAS ALCOHOLICAS;Centro de Monitoreo;No Delictivo
CAMARA INOPERATIVA;Centro de Monitoreo;No Delictivo
RUIDOS MOLESTOS;Centro de Monitoreo;No Delictivo
SE VISUALIZA POR CAMARAS UN GRUPO DE PERSONAS EN CONSUMO DE LICOR CAM EN CALLE LOS GALENOS CON AV EL SOL;Centro de Monitoreo;No Delictivo
OPERATIVO ESCUADRÓN VERDE;Centro de Monitoreo;No Delictivo
RUIDOS MOLESTOS;Centro de Monitoreo;No Delictivo
ERRADICACION DE CARPAS;Centro de Monitoreo;No Delictivo
CONSUMO DE LICOR EN LA VIA PUBLICA O INTERIOR DE VEHICULO;Centro de Monitoreo;No Delictivo
CATERIANAS CAIDAS;Centro de Monitoreo;No Delictivo
DESMONTE;Centro de Monitoreo;No Delictivo
DESMONTE;Centro de Monitoreo;No Delictivo
SE RECIBE LLAMADA TELEFONICA INDICANDO RUIDOS MOLESTOS POR MUSICA EN LA CUADRA 4 DE LOS PUMAS;Centro de Monitoreo;No Delictivo
RUIDOS POR MUSICA;Centro de Monitoreo;No Delictivo
RESGUARDO SAMOA;Centro de Monitoreo;No Delictivo
DESMONTE;Centro de Monitoreo;No Delictivo
SS;Centro de Monitoreo;No Delictivo
ARROJO DE BASURA, DESMONTE Y/O MALEZA;Centro de Monitoreo;No Delictivo
GG;Centro de Monitoreo;No Delictivo
PODA DE ARBOLES Y JARDINES;Centro de Monitoreo;No Delictivo
ARROJO DE BASURA, DESMONTE Y/O MALEZA;Centro de Monitoreo;No Delictivo
CONSUMO DE LICOR EN LA VIA PUBLICA O INTERIOR DE VEHICULO;Centro de Monitoreo;No Delictivo
CATERIANAS MAL ESTADO;Centro de Monitoreo;No Delictivo
APOYO A LA CONSIGNA PARQUE FATIMA;Centro de Monitoreo;No Delictivo
ARROJO DE BASURA, DESMONTE Y/O MALEZA;Centro de Monitoreo;No Delictivo
OPERADOR - ROSAS;Centro de Monitoreo;No Delictivo
REPORTAN 6 PERSONAS EN PARQUE REALIZANDO RUIDOS MOLESTOS Y AGREDIENDO AL GUARDIAN;Centro de Monitoreo;No Delictivo
CAMARA INOPERATIVA;Centro de Monitoreo;No Delictivo
RUIDOS MOLESTOS POR MUSICA EN CALLE LOS GORRIONES 466;Centro de Monitoreo;No Delictivo
SE RECINE LLAMADA DE VECINO INDICANDO RUIDOS MOLESTOS POR MUSICA;Centro de Monitoreo;No Delictivo
AGRECION;Centro de Monitoreo;No Delictivo
SE OBSERVA POR CAMARA PERSONAS EN CONSUMO FRENTE AL COLEGIO SANTA ROSA;Centro de Monitoreo;No Delictivo
HERIDO POR CAIDA;Centro de Monitoreo;No Delictivo
SE VISUALIZA 20 BOLSAS DE ESCOMBROS POR CAMARAS AL FRENTE DEL COLEGIO SANTA ROSA;Centro de Monitoreo;No Delictivo
OPERADOR - ROSAS;Centro de Monitoreo;No Delictivo
SE RECIBE COMUNICACION VIA TELEFONICA DE VECINA INDICANDO RUIDOS MOLESTOS POR MUSICA EN LA CUADRA 1 DE CALLE MAL ABRIGO;Centro de Monitoreo;No Delictivo
VEHICULO ABANDONADO;Centro de Monitoreo;No Delictivo
CONSIGNA PARQUE FATIMA;Centro de Monitoreo;No Delictivo
